sentence,label
"['charming', 'often', 'affecting', 'journey']",1
"['unflinchingly', 'bleak', 'desperate']",0
"['allows', 'us', 'hope', 'nolan', 'poised', 'embark', 'major', 'career', 'commercial', 'yet', 'inventive', 'filmmaker']",1
"['acting', 'costumes', 'music', 'cinematography', 'sound', 'astounding', 'given', 'production', 'austere', 'locales']",1
"['slow', 'slow']",0
"['although', 'laced', 'humor', 'fanciful', 'touches', 'film', 'refreshingly', 'serious', 'look', 'young', 'women']",1
"['sometimes', 'tedious', 'film']",0
"['last', 'year', 'taxes', 'ex', 'wife']",0
"['nt', 'know', 'music', 'appreciate', 'film', 'easygoing', 'blend', 'comedy', 'romance']",1
"['exactly', 'minutes', 'passed', 'slowly', 'sitting', 'naked', 'igloo', 'formula', 'sank', 'quirky', 'jerky', 'utter', 'turkey']",0
"['mesmerizing', 'performances', 'leads', 'keep', 'film', 'grounded', 'keep', 'audience', 'riveted']",1
"['takes', 'strange', 'kind', 'laziness', 'waste', 'talents', 'robert', 'forster', 'anne', 'meara', 'eugene', 'levy', 'reginald', 'veljohnson', 'movie']",0
"['film', 'suffers', 'lack', 'humor', 'something', 'needed', 'balance', 'violence']",0
"['root', 'clara', 'paul', 'even', 'like', 'though', 'perhaps', 'emotion', 'closer', 'pity']",1
"['even', 'horror', 'fans', 'likely', 'find', 'seeking', 'trouble', 'every', 'day', 'movie', 'lacks', 'thrills', 'humor']",0
"['gorgeous', 'high', 'spirited', 'musical', 'india', 'exquisitely', 'blends', 'music', 'dance', 'song', 'high', 'drama']",1
"['emotions', 'raw', 'strike', 'nerve', 'anyone', 'ever', 'family', 'trauma']",1
"['audrey', 'tatou', 'knack', 'picking', 'roles', 'magnify', 'outrageous', 'charm', 'literate', 'french', 'comedy', 'morning', 'glory', 'exuberant', 'amélie']",1
"['movie', 'plain', 'old', 'monster']",0
"['best', 'moments', 'resembles', 'bad', 'high', 'school', 'production', 'grease', 'without', 'benefit', 'song']",0
